Date,Value
1905-08-01,9.2
1905-07-01,8.87
1905-06-01,8.6
1905-05-01,8.5
1905-04-01,8.94
1905-03-01,9.05
1905-02-01,8.8
1905-01-01,8.43
1904-12-01,8.25
1904-11-01,8.17
1904-10-01,7.75
1904-09-01,7.32
1904-08-01,7.01
1904-07-01,6.78
1904-06-01,6.51
1904-05-01,6.5
1904-04-01,6.64
1904-03-01,6.48
1904-02-01,6.5
1904-01-01,6.68
1903-12-01,6.57
1903-11-01,6.28
1903-10-01,6.26
1903-09-01,6.47
1903-08-01,6.63
1903-07-01,6.85
1903-06-01,7.18
1903-05-01,7.6
1903-04-01,7.75
1903-03-01,8.08
1903-02-01,8.41
1903-01-01,8.46
1902-12-01,8.05
1902-11-01,8.24
1902-10-01,8.57
1902-09-01,8.85
1902-08-01,8.83
1902-07-01,8.6
1902-06-01,8.41
1902-05-01,8.46
1902-04-01,8.48
1902-03-01,8.2
1902-02-01,8.19
1902-01-01,8.12
1901-12-01,7.95
1901-11-01,8.08
1901-10-01,7.91
1901-09-01,8.0
1901-08-01,8.04
1901-07-01,7.93
1901-06-01,8.5
1901-05-01,7.73
1901-04-01,8.14
1901-03-01,7.51
1901-02-01,7.25
1901-01-01,7.07
1900-12-01,6.87
1900-11-01,6.48
1900-10-01,6.01
1900-09-01,5.8
1900-08-01,5.94
1900-07-01,5.86
1900-06-01,5.86
1900-05-01,6.04
1900-04-01,6.34
1900-03-01,6.26
1900-02-01,6.21
1900-01-01,6.1
1899-12-01,6.02
1899-11-01,6.46
1899-10-01,6.34
1899-09-01,6.37
1899-08-01,6.44
1899-07-01,6.28
1899-06-01,6.07
1899-05-01,6.21
1899-04-01,6.48
1899-03-01,6.4
1899-02-01,6.31
1899-01-01,6.08
1898-12-01,5.65
1898-11-01,5.32
1898-10-01,5.15
1898-09-01,5.26
1898-08-01,5.27
1898-07-01,5.08
1898-06-01,5.06
1898-05-01,4.87
1898-04-01,4.57
1898-03-01,4.65
1898-02-01,4.87
1898-01-01,4.88
1897-12-01,4.75
1897-11-01,4.65
1897-10-01,4.82
1897-09-01,4.98
1897-08-01,4.75
1897-07-01,4.46
1897-06-01,4.27
1897-05-01,4.08
1897-04-01,4.06
1897-03-01,4.19
1897-02-01,4.18
1897-01-01,4.22
1896-12-01,4.22
1896-11-01,4.38
1896-10-01,4.1
1896-09-01,4.01
1896-08-01,3.81
1896-07-01,4.04
1896-06-01,4.32
1896-05-01,4.4
1896-04-01,4.42
1896-03-01,4.38
1896-02-01,4.45
1896-01-01,4.27
1895-12-01,4.32
1895-11-01,4.59
1895-10-01,4.75
1895-09-01,4.82
1895-08-01,4.79
1895-07-01,4.72
1895-06-01,4.7
1895-05-01,4.61
1895-04-01,4.37
1895-03-01,4.19
1895-02-01,4.19
1895-01-01,4.25
1894-12-01,4.3
1894-11-01,4.34
1894-10-01,4.34
1894-09-01,4.48
1894-08-01,4.41
1894-07-01,4.25
1894-06-01,4.34
1894-05-01,4.4
1894-04-01,4.57
1894-03-01,4.51
1894-02-01,4.38
1894-01-01,4.32
1893-12-01,4.41
1893-11-01,4.57
1893-10-01,4.5
1893-09-01,4.37
1893-08-01,4.08
1893-07-01,4.18
1893-06-01,4.61
1893-05-01,4.84
1893-04-01,5.31
1893-03-01,5.31
1893-02-01,5.51
1893-01-01,5.61
1892-12-01,5.51
1892-11-01,5.57
1892-10-01,5.59
1892-09-01,5.48
1892-08-01,5.62
1892-07-01,5.54
1892-06-01,5.54
1892-05-01,5.57
1892-04-01,5.57
1892-03-01,5.58
1892-02-01,5.52
1892-01-01,5.51
1891-12-01,5.41
1891-11-01,5.25
1891-10-01,5.33
1891-09-01,5.33
1891-08-01,4.93
1891-07-01,4.77
1891-06-01,4.85
1891-05-01,4.95
1891-04-01,4.97
1891-03-01,4.81
1891-02-01,4.9
1891-01-01,4.84
1890-12-01,4.6
1890-11-01,4.71
1890-10-01,5.08
1890-09-01,5.32
1890-08-01,5.41
1890-07-01,5.54
1890-06-01,5.58
1890-05-01,5.62
1890-04-01,5.39
1890-03-01,5.28
1890-02-01,5.32
1890-01-01,5.38
1889-12-01,5.32
1889-11-01,5.35
1889-10-01,5.4
1889-09-01,5.5
1889-08-01,5.37
1889-07-01,5.3
1889-06-01,5.41
1889-05-01,5.32
1889-04-01,5.18
1889-03-01,5.19
1889-02-01,5.3
1889-01-01,5.24
1888-12-01,5.14
1888-11-01,5.24
1888-10-01,5.35
1888-09-01,5.38
1888-08-01,5.25
1888-07-01,5.14
1888-06-01,5.01
1888-05-01,5.17
1888-04-01,5.1
1888-03-01,5.08
1888-02-01,5.28
1888-01-01,5.31
1887-12-01,5.27
1887-11-01,5.3
1887-10-01,5.2
1887-09-01,5.38
1887-08-01,5.45
1887-07-01,5.59
1887-06-01,5.73
1887-05-01,5.9
1887-04-01,5.8
1887-03-01,5.67
1887-02-01,5.54
1887-01-01,5.58
1886-12-01,5.64
1886-11-01,5.79
1886-10-01,5.65
1886-09-01,5.51
1886-08-01,5.37
1886-07-01,5.33
1886-06-01,5.25
1886-05-01,5.02
1886-04-01,5.12
1886-03-01,5.19
1886-02-01,5.3
1886-01-01,5.2
1885-12-01,5.2
1885-11-01,5.24
1885-10-01,4.92
1885-09-01,4.65
1885-08-01,4.71
1885-07-01,4.46
1885-06-01,4.3
1885-05-01,4.32
1885-04-01,4.37
1885-03-01,4.38
1885-02-01,4.37
1885-01-01,4.24
1884-12-01,4.34
1884-11-01,4.35
1884-10-01,4.44
1884-09-01,4.59
1884-08-01,4.74
1884-07-01,4.46
1884-06-01,4.46
1884-05-01,4.65
1884-04-01,5.06
1884-03-01,5.3
1884-02-01,5.32
1884-01-01,5.18
1883-12-01,5.34
1883-11-01,5.46
1883-10-01,5.38
1883-09-01,5.53
1883-08-01,5.47
1883-07-01,5.73
1883-06-01,5.82
1883-05-01,5.77
1883-04-01,5.87
1883-03-01,5.75
1883-02-01,5.68
1883-01-01,5.81
1882-12-01,5.84
1882-11-01,5.81
1882-10-01,6.07
1882-09-01,6.24
1882-08-01,6.18
1882-07-01,6.0
1882-06-01,5.68
1882-05-01,5.71
1882-04-01,5.78
1882-03-01,5.78
1882-02-01,5.79
1882-01-01,5.92
1881-12-01,6.01
1881-11-01,6.19
1881-10-01,6.15
1881-09-01,6.25
1881-08-01,6.2
1881-07-01,6.35
1881-06-01,6.58
1881-05-01,6.5
1881-04-01,6.22
1881-03-01,6.24
1881-02-01,6.17
1881-01-01,6.19
1880-12-01,5.84
1880-11-01,5.61
1880-10-01,5.33
1880-09-01,5.18
1880-08-01,5.19
1880-07-01,5.01
1880-06-01,4.79
1880-05-01,4.77
1880-04-01,5.18
1880-03-01,5.3
1880-02-01,5.2
1880-01-01,5.11
1879-12-01,4.92
1879-11-01,4.93
1879-10-01,4.68
1879-09-01,4.22
1879-08-01,4.07
1879-07-01,4.04
1879-06-01,3.96
1879-05-01,3.94
1879-04-01,3.77
1879-03-01,3.65
1879-02-01,3.71
1879-01-01,3.58
1878-12-01,3.45
1878-11-01,3.47
1878-10-01,3.48
1878-09-01,3.52
1878-08-01,3.45
1878-07-01,3.48
1878-06-01,3.41
1878-05-01,3.34
1878-04-01,3.33
1878-03-01,3.24
1878-02-01,3.18
1878-01-01,3.25
1877-12-01,3.25
1877-11-01,3.26
1877-10-01,3.31
1877-09-01,3.24
1877-08-01,3.05
1877-07-01,2.85
1877-06-01,2.73
1877-05-01,2.94
1877-04-01,2.94
1877-03-01,3.17
1877-02-01,3.34
1877-01-01,3.55
1876-12-01,3.58
1876-11-01,3.6
1876-10-01,3.67
1876-09-01,3.69
1876-08-01,3.93
1876-07-01,4.1
1876-06-01,4.15
1876-05-01,4.18
1876-04-01,4.34
1876-03-01,4.51
1876-02-01,4.52
1876-01-01,4.46
1875-12-01,4.37
1875-11-01,4.37
1875-10-01,4.3
1875-09-01,4.37
1875-08-01,4.41
1875-07-01,4.39
1875-06-01,4.38
1875-05-01,4.47
1875-04-01,4.65
1875-03-01,4.59
1875-02-01,4.53
1875-01-01,4.54
1874-12-01,4.54
1874-11-01,4.57
1874-10-01,4.53
1874-09-01,4.54
1874-08-01,4.47
1874-07-01,4.46
1874-06-01,4.46
1874-05-01,4.48
1874-04-01,4.6
1874-03-01,4.73
1874-02-01,4.8
1874-01-01,4.66
1873-12-01,4.42
1873-11-01,4.04
1873-10-01,4.19
1873-09-01,4.59
1873-08-01,4.97
1873-07-01,4.97
1873-06-01,4.98
1873-05-01,5.05
1873-04-01,5.04
1873-03-01,5.11
1873-02-01,5.15
1873-01-01,5.11
1872-12-01,5.07
1872-11-01,4.95
1872-10-01,4.97
1872-09-01,4.95
1872-08-01,5.04
1872-07-01,5.1
1872-06-01,5.13
1872-05-01,5.18
1872-04-01,5.18
1872-03-01,5.04
1872-02-01,4.88
1872-01-01,4.86
1871-12-01,4.74
1871-11-01,4.64
1871-10-01,4.59
1871-09-01,4.84
1871-08-01,4.79
1871-07-01,4.73
1871-06-01,4.82
1871-05-01,4.86
1871-04-01,4.74
1871-03-01,4.61
1871-02-01,4.5
1871-01-01,4.44
